Sub	Image	Cond	Lat	Time	Dur	Amp	Amp1B	Amp2B	Vel	rAmp1B	rAmp2B	AbsDir180	RelDir1B180	RelDir2B180	AbsBin180	RelBin1B180	RelBin2B180
JIMP5.asc	off1-z	P	244.5714286	6216	34.0952381	6.883975373	9.2429955	7.394243166	329.5714286	-2.861682838	-1.242352861	108.4251972	76.05596395	58.05514346	105	75	55
JIMP5.asc	off2-n	P	264	6080	30.8	6.565552786	9.007542906	10.0450756	268.85	-2.553048278	-3.788861278	101.2686274	127.3893545	101.9605693	100	125	100
JIMP5.asc	pat-z	P	179.5555556	6156	33.92592593	8.269077374	13.98889987	15.70968856	313.962963	-5.819208824	-7.96667652	103.8526986	100.3935682	89.86211851	100	100	85
JIMP5.asc	pink-n	P	213.12	6044	31.84	7.710494024	11.25033774	12.23931589	281.4	-3.611528699	-4.953258979	106.7011051	115.5445345	114.1499613	105	115	110
JIMP5.asc	play-z	P	205.6923077	6284	37.38461538	10.0005061	12.79707126	15.08337286	328.3461538	-2.893767736	-5.579188678	98.70625914	99.40434858	97.74403525	95	95	95
JIMP5.asc	pond-n	P	196.4444444	6200	37.92592593	10.54154577	15.25000645	17.63722078	365.7777778	-4.743103932	-7.466958402	112.4335839	104.343688	109.2583868	110	100	105
JIMP5.asc	pool2-n	P	204.3333333	6172	41	10.96217034	15.44944442	16.1019249	376.5416667	-5.087489267	-6.27692676	121.8790423	102.9865584	105.2305988	120	100	105
JIMP5.asc	poolh-z	P	242.7272727	6092	40.18181818	9.909081064	13.52473455	14.83161052	366.8636364	-4.040811467	-5.856852279	100.7688151	101.4950103	82.58832256	100	100	80
JIMP5.asc	pool-z	P	205.12	6140	34.72	7.664331327	11.63555072	12.56321066	292.92	-4.105618625	-5.452706774	118.5522026	110.9677088	103.869417	115	110	100
JIMP5.asc	rest-n	P	241.5238095	6168	35.80952381	9.207120725	15.58737318	17.215983	303.1904762	-6.385218521	-8.351059236	95.10842484	114.7582034	99.17546699	95	110	95
JIMP5.asc	stable-z	P	208.1666667	6040	36.33333333	8.748574998	12.56572331	13.96774087	338.4166667	-3.854851709	-5.709373527	119.6980058	102.4477289	85.83141978	115	100	85
JIMP5.asc	stage-n	P	247.3684211	6088	32.42105263	7.49438294	11.67864255	12.27263526	294.2631579	-4.361560583	-5.753672092	112.2543048	103.7590752	92.15724274	110	100	90
JIMP5.asc	stair-z	P	202.08	6140	35.36	8.520307085	11.46105261	11.25095622	327.8	-2.98391423	-3.031705979	112.7945074	87.83442038	95.57273487	110	85	95
JIMP5.asc	still-n	P	346.1333333	6236	35.2	8.776935805	13.87056539	14.61814551	324.5333333	-5.141048055	-6.516918452	102.685419	87.63370555	79.05518677	100	85	75
JIMP5.asc	studio-z	P	249.6363636	6252	29.63636364	5.74783159	8.338142364	9.64213963	254.7727273	-2.631372052	-4.051162823	117.7205639	119.8329805	111.3007572	115	115	110
JIMP5.asc	train-n	P	237.3913043	6140	31.65217391	7.135611928	10.99454539	12.69145979	245.3478261	-3.998206331	-6.357589975	155.7890407	136.5335688	140.2160302	155	135	140
JIMP5.asc	work-z	P	189.44	6020	34.08	7.866834941	10.85255368	12.72341389	301.64	-3.000253909	-5.077069514	112.654375	111.9186366	107.6911137	110	110	105
JIMP5.asc	xmas-n	P	200	6208	39.07692308	10.40659584	15.43296051	14.96533591	346.7692308	-5.274702975	-5.516319961	111.1770552	104.876359	105.0860443	110	100	105
JIMP6.asc	alley-n	P	295.4666667	6216	45.86666667	9.239128879	8.961898019	8.346775092	340.1333333	0.008609081	0.080659398	113.5888423	72.64996419	81.01728459	110	70	80
